videoId,videoTitle,comment,author,likeCount,publishedAt
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Look at how chaathan it is... Camera Ultra koora pro max...,@HarshadAbdulKabeer,7,2026-03-22T07:51:11Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Liked the edits Your editing skill is improving,@Nikhil-s6y,1,2025-10-18T16:17:15Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Only iphone I can afford,@doorhandle6769,41,2025-10-18T04:44:59Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Google assistant with siri,@Naari-i3z,1,2025-10-18T12:53:34Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Editing super . Correct sync,@Rabinfou,1,2025-10-19T18:29:27Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Dynamic island oke work avauoo .. ivan mare kond thottupokullo enthayalum long term review venam anna,@abhijithkrishnan3655,0,2025-10-18T05:08:27Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Athentha ellam idunna nee iPhone pro max review cheyathey? Shaaz annan thanne venam ippo,@JOBBASKET4,0,2025-11-25T22:41:22Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Kaanumpol thanna ariyaam bro mainly the camera lens Glass,@sibinmichael5795,0,2026-02-20T04:11:41Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Play store njekkiya appstore App store njekkiya play store Sambhavam poli chathan video thanne ketta,@ranjithsukumaran4033,0,2025-10-19T05:12:46Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Bro ethil etha better onnu parayamo iPhone 17 air or Google pixel 10 Which is better normal usage,@AnishAnu-b8e,0,2025-10-20T12:21:47Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Best chatan everrrrrr,@adarshvk7228,0,2025-10-18T11:59:09Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Chetta ith spec parayaamo ?,@SamJoseph-gj8ir,0,2025-10-19T04:51:33Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,17 pro use illannu paranjitt base model edukkan poya annan aanu 17 pro max edukkan pone.... Viswasichu...fresh fresh fresh !!!,@Sreejith_k85,0,2025-10-18T12:45:55Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Karthik surya yude editor ine hire cheytho...,@gouthamrao552,0,2025-10-18T04:54:12Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,100 professional,@badhu_s,0,2025-10-18T16:38:03Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Karthik Surya ude Editor alle ee video edit cheythathu? Sathyam para,@StanleyVShaji,0,2026-01-08T21:59:11Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,"Bro, editing korach over aan. Aadhyam ollath thanne mathi.pazhethu pole vedio cheyy please",@wickedsickle,0,2025-10-18T10:59:18Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Edaa iQOO Neo 10 vs iQOO 12 Gaming Experience etha better bro parayo,@TeamPurpleDomain,0,2025-10-18T06:46:29Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Shazzam bro Iphone 17 pro max Japan spec uae purchase chyth nattil use chythal nthelm problem undo,@anandhakrishnan1629,0,2025-11-10T16:59:24Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,"Bro, cosmic orange is turning to rose gold ennu kelkkunnu, ullathaahno?",@BinBin-ho4lv,0,2025-10-18T17:21:27Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Ennalpolum...... ee videoyil thanne shradhichu nokiyal kaanam athil 2 camera reflect cheyumbol blue colouril kaanam......,@NETHAN-x1h,0,2025-11-24T15:52:16Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,From Chor bazaar 5000rs only,@PinarayiVijayan-k5b,2,2025-10-18T12:47:27Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Aliya ith enghane vangan pattum para i phone vanghan okke fund inde but ios battery backup ishttam alla atha Android ane ishttam so android i phone poli kitto,@Lynx_tokky,0,2025-10-19T16:14:54Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Apo original and duplicate unbox cheyunna munne thirich ariyan vazhi onnullee,@athirasaji8317,0,2025-10-18T18:35:19Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Bro take news,@varunvarghese5252,0,2025-10-18T14:28:56Z
8ip5AKY8xm4,iPhone 17 Pro Max Chaathan Edition !!,Anna is phone 17 pro max inte best camera settings parayavo instagram il oru story engilum Idavo? Please,@RehanReny,0,2025-11-07T11:52:50Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Watching this on iPhone 17,@megatronff1362,251,2026-02-02T11:06:14Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"Sooo many first comments here , sherikkum aarade first?.",@Paanavlogs,615,2025-11-07T08:59:20Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"The first time,i thought about buying an iPhone ....",@abhijitha7573,74,2025-11-07T15:17:43Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Editor polichu,@Abhaykrishna077,33,2025-11-07T16:01:34Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,As a 17 user very good performance and better camera finally the 120hz for base series is very nyz.,@dheerajks7649,29,2025-11-07T16:28:28Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"Bro, there s something most people don t realize about iPhone storage screenshots actually take up a lot of space. Each screenshot can be around 8 10 MP in size, which means if you ve got 1,000 of them, that s roughly 10 12 GB of storage gone just for screenshots! Most people assume a screenshot is just 1 2 MB, but on iPhones, they re much larger. You can check it yourself by copying all your screenshots to a computer and checking the total folder size it s pretty surprising.",@TedVet,47,2025-11-08T03:26:19Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,iPhone illathe epozhum iphone review kanumavru ivide coment,@Susheela-u8u,88,2025-11-10T15:22:50Z
